Date,Open,High,Low,Close,Adj Close,Volume
2016-11-29,3.535710,3.535710,3.392860,3.428570,3.389860,79356
2016-11-30,3.428570,3.514290,3.414290,3.428570,3.389860,59975
2016-12-01,3.428570,3.428570,3.314290,3.357140,3.319237,37870
2016-12-02,3.364290,3.364290,3.314290,3.357140,3.319237,23653
2016-12-05,3.285710,3.285710,3.214290,3.271430,3.234494,112935
2016-12-06,3.228570,3.250000,3.107140,3.128570,3.093248,102473
2016-12-07,3.142860,3.207140,3.000000,3.178570,3.142683,64270
2016-12-12,3.178570,3.214290,3.107140,3.107140,3.072059,23030
2016-12-13,3.142860,3.178570,3.021430,3.092860,3.057941,76583
2016-12-14,3.071430,3.071430,3.000000,3.035710,3.001436,119094
2016-12-15,3.107140,3.107140,2.964290,3.000000,2.966129,55005
2016-12-16,3.050000,3.050000,3.000000,3.007140,2.973188,34609
2016-12-19,3.035710,3.200000,3.028570,3.142860,3.107376,215050
2016-12-20,3.285710,3.285710,3.142860,3.214290,3.177999,242263
2016-12-21,3.214290,3.221430,3.092860,3.142860,3.107376,131041
2016-12-22,3.135710,3.135710,3.071430,3.135710,3.100307,64966
2016-12-23,3.107140,3.157140,3.107140,3.114290,3.079129,70396
2016-12-26,3.092860,3.092860,2.964290,3.021430,2.987317,153965
2016-12-27,3.092860,3.092860,3.000000,3.028570,2.994376,38290
2016-12-28,3.107140,3.107140,2.985710,3.000000,2.966129,95169
2016-12-29,3.000000,3.042860,2.978570,3.035710,3.001436,174170
2016-12-30,3.035710,3.035710,3.035710,3.035710,3.001436,0
2017-01-02,3.071430,3.142860,3.071430,3.142860,3.107376,152299
2017-01-03,3.214290,3.421430,3.214290,3.392860,3.354553,366796
2017-01-04,3.392860,3.535710,3.392860,3.435710,3.396920,432548
2017-01-05,3.428570,3.535710,3.371430,3.414290,3.375741,174394
2017-01-06,3.407140,3.528570,3.392860,3.457140,3.418108,70885
2017-01-09,3.571430,3.678570,3.542860,3.607140,3.566414,388843
2017-01-10,3.707140,3.707140,3.500000,3.521430,3.481672,197169
2017-01-11,3.435710,3.478570,3.414290,3.471430,3.432236,144725
2017-01-12,3.442860,3.528570,3.435710,3.492860,3.453425,207892
2017-01-13,3.557140,3.557140,3.442860,3.500000,3.460484,39098
